Driver,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,TrackStatus,LapTime_s,Year,GrandPrix,SessionType,compound_encoded,is_fresh_tyre,tyre_life_squared,stint_progress,deg_rate
VER,Red Bull Racing,2.0,1.0,SOFT,5.0,False,12,97.974,2023,Bahrain Grand Prix,R,0,0,25.0,0.3125,0.05972377622377857
VER,Red Bull Racing,3.0,1.0,SOFT,6.0,False,1,98.006,2023,Bahrain Grand Prix,R,0,0,36.0,0.375,0.05972377622377857
VER,Red Bull Racing,4.0,1.0,SOFT,7.0,False,1,97.976,2023,Bahrain Grand Prix,R,0,0,49.0,0.4375,0.05972377622377857
VER,Red Bull Racing,5.0,1.0,SOFT,8.0,False,1,98.035,2023,Bahrain Grand Prix,R,0,0,64.0,0.5,0.05972377622377857
VER,Red Bull Racing,6.0,1.0,SOFT,9.0,False,1,97.986,2023,Bahrain Grand Prix,R,0,0,81.0,0.5625,0.05972377622377857
VER,Red Bull Racing,7.0,1.0,SOFT,10.0,False,1,98.021,2023,Bahrain Grand Prix,R,0,0,100.0,0.625,0.05972377622377857
VER,Red Bull Racing,8.0,1.0,SOFT,11.0,False,1,98.154,2023,Bahrain Grand Prix,R,0,0,121.0,0.6875,0.05972377622377857
VER,Red Bull Racing,9.0,1.0,SOFT,12.0,False,1,98.278,2023,Bahrain Grand Prix,R,0,0,144.0,0.75,0.05972377622377857
VER,Red Bull Racing,10.0,1.0,SOFT,13.0,False,1,98.369,2023,Bahrain Grand Prix,R,0,0,169.0,0.8125,0.05972377622377857
VER,Red Bull Racing,11.0,1.0,SOFT,14.0,False,1,98.483,2023,Bahrain Grand Prix,R,0,0,196.0,0.875,0.05972377622377857
VER,Red Bull Racing,12.0,1.0,SOFT,15.0,False,1,98.591,2023,Bahrain Grand Prix,R,0,0,225.0,0.9375,0.05972377622377857
VER,Red Bull Racing,13.0,1.0,SOFT,16.0,False,1,98.482,2023,Bahrain Grand Prix,R,0,0,256.0,1.0,0.05972377622377857
VER,Red Bull Racing,16.0,2.0,SOFT,2.0,False,1,97.801,2023,Bahrain Grand Prix,R,0,0,4.0,0.09523809523809523,0.0007383458646629335
VER,Red Bull Racing,17.0,2.0,SOFT,3.0,False,1,97.648,2023,Bahrain Grand Prix,R,0,0,9.0,0.14285714285714285,0.0007383458646629335
VER,Red Bull Racing,18.0,2.0,SOFT,4.0,False,1,97.614,2023,Bahrain Grand Prix,R,0,0,16.0,0.19047619047619047,0.0007383458646629335
VER,Red Bull Racing,19.0,2.0,SOFT,5.0,False,1,97.712,2023,Bahrain Grand Prix,R,0,0,25.0,0.23809523809523808,0.0007383458646629335
VER,Red Bull Racing,20.0,2.0,SOFT,6.0,False,1,97.788,2023,Bahrain Grand Prix,R,0,0,36.0,0.2857142857142857,0.0007383458646629335
VER,Red Bull Racing,21.0,2.0,SOFT,7.0,False,1,97.582,2023,Bahrain Grand Prix,R,0,0,49.0,0.3333333333333333,0.0007383458646629335
VER,Red Bull Racing,22.0,2.0,SOFT,8.0,False,1,97.651,2023,Bahrain Grand Prix,R,0,0,64.0,0.38095238095238093,0.0007383458646629335
VER,Red Bull Racing,23.0,2.0,SOFT,9.0,False,1,97.552,2023,Bahrain Grand Prix,R,0,0,81.0,0.42857142857142855,0.0007383458646629335
VER,Red Bull Racing,24.0,2.0,SOFT,10.0,False,1,97.387,2023,Bahrain Grand Prix,R,0,0,100.0,0.47619047619047616,0.0007383458646629335
VER,Red Bull Racing,25.0,2.0,SOFT,11.0,False,1,97.372,2023,Bahrain Grand Prix,R,0,0,121.0,0.5238095238095238,0.0007383458646629335
VER,Red Bull Racing,26.0,2.0,SOFT,12.0,False,1,97.682,2023,Bahrain Grand Prix,R,0,0,144.0,0.5714285714285714,0.0007383458646629335
VER,Red Bull Racing,27.0,2.0,SOFT,13.0,False,1,97.379,2023,Bahrain Grand Prix,R,0,0,169.0,0.6190476190476191,0.0007383458646629335
VER,Red Bull Racing,28.0,2.0,SOFT,14.0,False,1,97.651,2023,Bahrain Grand Prix,R,0,0,196.0,0.6666666666666666,0.0007383458646629335
VER,Red Bull Racing,29.0,2.0,SOFT,15.0,False,1,97.571,2023,Bahrain Grand Prix,R,0,0,225.0,0.7142857142857143,0.0007383458646629335
VER,Red Bull Racing,30.0,2.0,SOFT,16.0,False,1,97.549,2023,Bahrain Grand Prix,R,0,0,256.0,0.7619047619047619,0.0007383458646629335
VER,Red Bull Racing,31.0,2.0,SOFT,17.0,False,1,97.431,2023,Bahrain Grand Prix,R,0,0,289.0,0.8095238095238095,0.0007383458646629335
VER,Red Bull Racing,32.0,2.0,SOFT,18.0,False,1,97.691,2023,Bahrain Grand Prix,R,0,0,324.0,0.8571428571428571,0.0007383458646629335
VER,Red Bull Racing,33.0,2.0,SOFT,19.0,False,1,97.686,2023,Bahrain Grand Prix,R,0,0,361.0,0.9047619047619048,0.0007383458646629335
VER,Red Bull Racing,34.0,2.0,SOFT,20.0,False,1,97.839,2023,Bahrain Grand Prix,R,0,0,400.0,0.9523809523809523,0.0007383458646629335
VER,Red Bull Racing,35.0,2.0,SOFT,21.0,False,1,97.85,2023,Bahrain Grand Prix,R,0,0,441.0,1.0,0.0007383458646629335
VER,Red Bull Racing,38.0,3.0,HARD,2.0,True,1,96.297,2023,Bahrain Grand Prix,R,2,1,4.0,0.09523809523809523,0.012668377530652128
VER,Red Bull Racing,39.0,3.0,HARD,3.0,True,1,96.446,2023,Bahrain Grand Prix,R,2,1,9.0,0.14285714285714285,0.012668377530652128
VER,Red Bull Racing,40.0,3.0,HARD,4.0,True,1,96.942,2023,Bahrain Grand Prix,R,2,1,16.0,0.19047619047619047,0.012668377530652128
VER,Red Bull Racing,43.0,3.0,HARD,7.0,True,1,96.89,2023,Bahrain Grand Prix,R,2,1,49.0,0.3333333333333333,0.012668377530652128
VER,Red Bull Racing,44.0,3.0,HARD,8.0,True,1,96.236,2023,Bahrain Grand Prix,R,2,1,64.0,0.38095238095238093,0.012668377530652128
VER,Red Bull Racing,45.0,3.0,HARD,9.0,True,1,97.015,2023,Bahrain Grand Prix,R,2,1,81.0,0.42857142857142855,0.012668377530652128
VER,Red Bull Racing,46.0,3.0,HARD,10.0,True,1,96.701,2023,Bahrain Grand Prix,R,2,1,100.0,0.47619047619047616,0.012668377530652128
