Driver,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,TrackStatus,LapTime_s,Year,GrandPrix,SessionType
VER,Red Bull Racing,2.0,1.0,MEDIUM,2.0,True,1,93.433,2023,British Grand Prix,R
VER,Red Bull Racing,3.0,1.0,MEDIUM,3.0,True,1,92.73,2023,British Grand Prix,R
VER,Red Bull Racing,4.0,1.0,MEDIUM,4.0,True,1,92.78,2023,British Grand Prix,R
VER,Red Bull Racing,5.0,1.0,MEDIUM,5.0,True,1,92.582,2023,British Grand Prix,R
VER,Red Bull Racing,6.0,1.0,MEDIUM,6.0,True,1,93.027,2023,British Grand Prix,R
VER,Red Bull Racing,7.0,1.0,MEDIUM,7.0,True,1,93.1,2023,British Grand Prix,R
VER,Red Bull Racing,8.0,1.0,MEDIUM,8.0,True,1,92.884,2023,British Grand Prix,R
VER,Red Bull Racing,9.0,1.0,MEDIUM,9.0,True,1,92.822,2023,British Grand Prix,R
VER,Red Bull Racing,10.0,1.0,MEDIUM,10.0,True,1,92.594,2023,British Grand Prix,R
VER,Red Bull Racing,11.0,1.0,MEDIUM,11.0,True,1,92.597,2023,British Grand Prix,R
VER,Red Bull Racing,12.0,1.0,MEDIUM,12.0,True,1,92.687,2023,British Grand Prix,R
VER,Red Bull Racing,13.0,1.0,MEDIUM,13.0,True,1,92.678,2023,British Grand Prix,R
VER,Red Bull Racing,14.0,1.0,MEDIUM,14.0,True,1,93.046,2023,British Grand Prix,R
VER,Red Bull Racing,15.0,1.0,MEDIUM,15.0,True,1,92.99,2023,British Grand Prix,R
VER,Red Bull Racing,16.0,1.0,MEDIUM,16.0,True,1,92.808,2023,British Grand Prix,R
VER,Red Bull Racing,17.0,1.0,MEDIUM,17.0,True,1,92.603,2023,British Grand Prix,R
VER,Red Bull Racing,18.0,1.0,MEDIUM,18.0,True,1,92.507,2023,British Grand Prix,R
VER,Red Bull Racing,19.0,1.0,MEDIUM,19.0,True,1,92.338,2023,British Grand Prix,R
VER,Red Bull Racing,20.0,1.0,MEDIUM,20.0,True,1,92.295,2023,British Grand Prix,R
VER,Red Bull Racing,21.0,1.0,MEDIUM,21.0,True,1,92.494,2023,British Grand Prix,R
VER,Red Bull Racing,22.0,1.0,MEDIUM,22.0,True,1,92.184,2023,British Grand Prix,R
VER,Red Bull Racing,23.0,1.0,MEDIUM,23.0,True,1,92.272,2023,British Grand Prix,R
