Driver,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,TrackStatus,LapTime_s,Year,GrandPrix,SessionType
VER,Red Bull Racing,2.0,1.0,MEDIUM,2.0,True,1,79.367,2023,Monaco Grand Prix,R
VER,Red Bull Racing,3.0,1.0,MEDIUM,3.0,True,1,79.074,2023,Monaco Grand Prix,R
VER,Red Bull Racing,4.0,1.0,MEDIUM,4.0,True,1,78.129,2023,Monaco Grand Prix,R
VER,Red Bull Racing,5.0,1.0,MEDIUM,5.0,True,1,78.019,2023,Monaco Grand Prix,R
VER,Red Bull Racing,6.0,1.0,MEDIUM,6.0,True,1,77.64,2023,Monaco Grand Prix,R
VER,Red Bull Racing,7.0,1.0,MEDIUM,7.0,True,1,77.633,2023,Monaco Grand Prix,R
VER,Red Bull Racing,8.0,1.0,MEDIUM,8.0,True,1,77.397,2023,Monaco Grand Prix,R
VER,Red Bull Racing,9.0,1.0,MEDIUM,9.0,True,1,77.031,2023,Monaco Grand Prix,R
VER,Red Bull Racing,10.0,1.0,MEDIUM,10.0,True,1,77.084,2023,Monaco Grand Prix,R
VER,Red Bull Racing,11.0,1.0,MEDIUM,11.0,True,1,76.858,2023,Monaco Grand Prix,R
VER,Red Bull Racing,12.0,1.0,MEDIUM,12.0,True,12,76.993,2023,Monaco Grand Prix,R
VER,Red Bull Racing,13.0,1.0,MEDIUM,13.0,True,21,77.434,2023,Monaco Grand Prix,R
VER,Red Bull Racing,14.0,1.0,MEDIUM,14.0,True,12,77.065,2023,Monaco Grand Prix,R
VER,Red Bull Racing,15.0,1.0,MEDIUM,15.0,True,21,77.079,2023,Monaco Grand Prix,R
VER,Red Bull Racing,16.0,1.0,MEDIUM,16.0,True,1,76.824,2023,Monaco Grand Prix,R
VER,Red Bull Racing,17.0,1.0,MEDIUM,17.0,True,1,76.86,2023,Monaco Grand Prix,R
VER,Red Bull Racing,18.0,1.0,MEDIUM,18.0,True,1,76.712,2023,Monaco Grand Prix,R
VER,Red Bull Racing,19.0,1.0,MEDIUM,19.0,True,1,76.823,2023,Monaco Grand Prix,R
VER,Red Bull Racing,20.0,1.0,MEDIUM,20.0,True,1,77.214,2023,Monaco Grand Prix,R
VER,Red Bull Racing,21.0,1.0,MEDIUM,21.0,True,1,76.803,2023,Monaco Grand Prix,R
VER,Red Bull Racing,22.0,1.0,MEDIUM,22.0,True,1,76.659,2023,Monaco Grand Prix,R
VER,Red Bull Racing,23.0,1.0,MEDIUM,23.0,True,1,76.604,2023,Monaco Grand Prix,R
VER,Red Bull Racing,24.0,1.0,MEDIUM,24.0,True,1,76.798,2023,Monaco Grand Prix,R
VER,Red Bull Racing,25.0,1.0,MEDIUM,25.0,True,1,77.183,2023,Monaco Grand Prix,R
VER,Red Bull Racing,26.0,1.0,MEDIUM,26.0,True,1,77.212,2023,Monaco Grand Prix,R
VER,Red Bull Racing,27.0,1.0,MEDIUM,27.0,True,1,77.259,2023,Monaco Grand Prix,R
VER,Red Bull Racing,28.0,1.0,MEDIUM,28.0,True,1,77.77,2023,Monaco Grand Prix,R
VER,Red Bull Racing,29.0,1.0,MEDIUM,29.0,True,1,78.001,2023,Monaco Grand Prix,R
VER,Red Bull Racing,30.0,1.0,MEDIUM,30.0,True,1,78.16,2023,Monaco Grand Prix,R
VER,Red Bull Racing,31.0,1.0,MEDIUM,31.0,True,1,78.741,2023,Monaco Grand Prix,R
VER,Red Bull Racing,32.0,1.0,MEDIUM,32.0,True,1,78.816,2023,Monaco Grand Prix,R
VER,Red Bull Racing,33.0,1.0,MEDIUM,33.0,True,1,78.946,2023,Monaco Grand Prix,R
VER,Red Bull Racing,34.0,1.0,MEDIUM,34.0,True,1,78.044,2023,Monaco Grand Prix,R
VER,Red Bull Racing,35.0,1.0,MEDIUM,35.0,True,1,78.024,2023,Monaco Grand Prix,R
VER,Red Bull Racing,36.0,1.0,MEDIUM,36.0,True,1,77.974,2023,Monaco Grand Prix,R
VER,Red Bull Racing,37.0,1.0,MEDIUM,37.0,True,1,77.273,2023,Monaco Grand Prix,R
VER,Red Bull Racing,38.0,1.0,MEDIUM,38.0,True,1,77.122,2023,Monaco Grand Prix,R
VER,Red Bull Racing,39.0,1.0,MEDIUM,39.0,True,1,76.966,2023,Monaco Grand Prix,R
VER,Red Bull Racing,40.0,1.0,MEDIUM,40.0,True,1,77.161,2023,Monaco Grand Prix,R
VER,Red Bull Racing,41.0,1.0,MEDIUM,41.0,True,1,76.944,2023,Monaco Grand Prix,R
VER,Red Bull Racing,42.0,1.0,MEDIUM,42.0,True,1,76.8,2023,Monaco Grand Prix,R
VER,Red Bull Racing,43.0,1.0,MEDIUM,43.0,True,1,76.963,2023,Monaco Grand Prix,R
VER,Red Bull Racing,44.0,1.0,MEDIUM,44.0,True,1,76.722,2023,Monaco Grand Prix,R
VER,Red Bull Racing,45.0,1.0,MEDIUM,45.0,True,1,76.701,2023,Monaco Grand Prix,R
VER,Red Bull Racing,46.0,1.0,MEDIUM,46.0,True,1,77.075,2023,Monaco Grand Prix,R
VER,Red Bull Racing,47.0,1.0,MEDIUM,47.0,True,1,77.16,2023,Monaco Grand Prix,R
VER,Red Bull Racing,48.0,1.0,MEDIUM,48.0,True,1,77.065,2023,Monaco Grand Prix,R
VER,Red Bull Racing,49.0,1.0,MEDIUM,49.0,True,1,77.428,2023,Monaco Grand Prix,R
VER,Red Bull Racing,50.0,1.0,MEDIUM,50.0,True,1,77.314,2023,Monaco Grand Prix,R
VER,Red Bull Racing,51.0,1.0,MEDIUM,51.0,True,1,77.427,2023,Monaco Grand Prix,R
VER,Red Bull Racing,52.0,1.0,MEDIUM,52.0,True,1,84.046,2023,Monaco Grand Prix,R
VER,Red Bull Racing,53.0,1.0,MEDIUM,53.0,True,1,89.919,2023,Monaco Grand Prix,R
