Driver,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,TrackStatus,LapTime_s,Year,GrandPrix,SessionType
VER,Red Bull Racing,2.0,1.0,MEDIUM,2.0,True,1,84.099,2024,Australian Grand Prix,R
VER,Red Bull Racing,3.0,1.0,MEDIUM,3.0,True,1,83.115,2024,Australian Grand Prix,R
GAS,Alpine,2.0,1.0,MEDIUM,2.0,True,1,84.649,2024,Australian Grand Prix,R
GAS,Alpine,3.0,1.0,MEDIUM,3.0,True,1,83.851,2024,Australian Grand Prix,R
GAS,Alpine,4.0,1.0,MEDIUM,4.0,True,1,83.7,2024,Australian Grand Prix,R
GAS,Alpine,5.0,1.0,MEDIUM,5.0,True,1,84.526,2024,Australian Grand Prix,R
GAS,Alpine,6.0,1.0,MEDIUM,6.0,True,1,83.912,2024,Australian Grand Prix,R
GAS,Alpine,7.0,1.0,MEDIUM,7.0,True,1,83.445,2024,Australian Grand Prix,R
GAS,Alpine,8.0,1.0,MEDIUM,8.0,True,1,83.879,2024,Australian Grand Prix,R
GAS,Alpine,9.0,1.0,MEDIUM,9.0,True,1,83.829,2024,Australian Grand Prix,R
GAS,Alpine,10.0,1.0,MEDIUM,10.0,True,1,83.856,2024,Australian Grand Prix,R
GAS,Alpine,11.0,1.0,MEDIUM,11.0,True,1,85.397,2024,Australian Grand Prix,R
GAS,Alpine,12.0,1.0,MEDIUM,12.0,True,1,84.625,2024,Australian Grand Prix,R
GAS,Alpine,13.0,1.0,MEDIUM,13.0,True,1,84.049,2024,Australian Grand Prix,R
GAS,Alpine,14.0,1.0,MEDIUM,14.0,True,1,84.104,2024,Australian Grand Prix,R
GAS,Alpine,15.0,1.0,MEDIUM,15.0,True,1,84.1,2024,Australian Grand Prix,R
GAS,Alpine,16.0,1.0,MEDIUM,16.0,True,1,85.367,2024,Australian Grand Prix,R
GAS,Alpine,19.0,2.0,HARD,2.0,True,1,83.922,2024,Australian Grand Prix,R
GAS,Alpine,20.0,2.0,HARD,3.0,True,1,83.662,2024,Australian Grand Prix,R
GAS,Alpine,21.0,2.0,HARD,4.0,True,1,83.241,2024,Australian Grand Prix,R
GAS,Alpine,22.0,2.0,HARD,5.0,True,1,83.045,2024,Australian Grand Prix,R
GAS,Alpine,23.0,2.0,HARD,6.0,True,1,82.929,2024,Australian Grand Prix,R
GAS,Alpine,24.0,2.0,HARD,7.0,True,1,83.001,2024,Australian Grand Prix,R
GAS,Alpine,25.0,2.0,HARD,8.0,True,1,82.933,2024,Australian Grand Prix,R
GAS,Alpine,26.0,2.0,HARD,9.0,True,1,83.015,2024,Australian Grand Prix,R
GAS,Alpine,27.0,2.0,HARD,10.0,True,1,82.904,2024,Australian Grand Prix,R
GAS,Alpine,28.0,2.0,HARD,11.0,True,1,82.674,2024,Australian Grand Prix,R
