Driver,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,TrackStatus,LapTime_s,Year,GrandPrix,SessionType
VER,Red Bull Racing,2.0,1.0,SOFT,5.0,False,1,96.296,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,3.0,1.0,SOFT,6.0,False,1,96.753,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,4.0,1.0,SOFT,7.0,False,1,96.647,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,5.0,1.0,SOFT,8.0,False,1,97.173,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,6.0,1.0,SOFT,9.0,False,1,97.092,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,7.0,1.0,SOFT,10.0,False,1,97.038,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,8.0,1.0,SOFT,11.0,False,1,97.024,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,9.0,1.0,SOFT,12.0,False,1,97.229,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,10.0,1.0,SOFT,13.0,False,12,96.96,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,11.0,1.0,SOFT,14.0,False,21,97.085,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,12.0,1.0,SOFT,15.0,False,1,97.045,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,13.0,1.0,SOFT,16.0,False,1,97.03,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,14.0,1.0,SOFT,17.0,False,1,97.028,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,15.0,1.0,SOFT,18.0,False,1,97.011,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,16.0,1.0,SOFT,19.0,False,1,97.168,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,19.0,2.0,HARD,2.0,True,1,95.283,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,20.0,2.0,HARD,3.0,True,1,95.16,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,21.0,2.0,HARD,4.0,True,1,95.316,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,22.0,2.0,HARD,5.0,True,1,95.204,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,23.0,2.0,HARD,6.0,True,1,95.216,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,24.0,2.0,HARD,7.0,True,1,95.289,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,25.0,2.0,HARD,8.0,True,1,95.342,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,26.0,2.0,HARD,9.0,True,1,95.223,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,27.0,2.0,HARD,10.0,True,1,95.581,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,28.0,2.0,HARD,11.0,True,1,95.477,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,29.0,2.0,HARD,12.0,True,1,95.793,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,30.0,2.0,HARD,13.0,True,1,95.771,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,31.0,2.0,HARD,14.0,True,1,95.679,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,32.0,2.0,HARD,15.0,True,1,95.886,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,33.0,2.0,HARD,16.0,True,1,95.863,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,34.0,2.0,HARD,17.0,True,1,96.133,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,35.0,2.0,HARD,18.0,True,1,96.018,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,36.0,2.0,HARD,19.0,True,1,96.205,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,39.0,3.0,SOFT,2.0,True,1,92.608,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,40.0,3.0,SOFT,3.0,True,1,96.589,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,41.0,3.0,SOFT,4.0,True,1,95.29,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,42.0,3.0,SOFT,5.0,True,1,94.667,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,43.0,3.0,SOFT,6.0,True,1,94.151,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,44.0,3.0,SOFT,7.0,True,1,94.531,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,45.0,3.0,SOFT,8.0,True,1,94.249,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,46.0,3.0,SOFT,9.0,True,1,94.193,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,47.0,3.0,SOFT,10.0,True,1,94.239,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,48.0,3.0,SOFT,11.0,True,1,94.35,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,49.0,3.0,SOFT,12.0,True,1,94.403,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,50.0,3.0,SOFT,13.0,True,1,94.783,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,51.0,3.0,SOFT,14.0,True,1,94.34,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,52.0,3.0,SOFT,15.0,True,1,94.906,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,53.0,3.0,SOFT,16.0,True,1,95.6,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,54.0,3.0,SOFT,17.0,True,1,95.334,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,55.0,3.0,SOFT,18.0,True,1,95.184,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,56.0,3.0,SOFT,19.0,True,1,94.671,2024,Bahrain Grand Prix,R
VER,Red Bull Racing,57.0,3.0,SOFT,20.0,True,1,94.923,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,2.0,1.0,SOFT,5.0,False,1,96.541,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,3.0,1.0,SOFT,6.0,False,1,97.297,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,4.0,1.0,SOFT,7.0,False,1,97.722,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,5.0,1.0,SOFT,8.0,False,1,98.044,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,6.0,1.0,SOFT,9.0,False,1,97.823,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,7.0,1.0,SOFT,10.0,False,1,97.821,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,8.0,1.0,SOFT,11.0,False,1,97.838,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,9.0,1.0,SOFT,12.0,False,1,97.596,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,10.0,1.0,SOFT,13.0,False,12,97.63,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,11.0,1.0,SOFT,14.0,False,1,97.836,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,14.0,2.0,HARD,2.0,True,1,95.606,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,15.0,2.0,HARD,3.0,True,1,96.815,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,16.0,2.0,HARD,4.0,True,1,95.783,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,17.0,2.0,HARD,5.0,True,1,96.454,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,18.0,2.0,HARD,6.0,True,1,96.311,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,19.0,2.0,HARD,7.0,True,1,96.038,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,20.0,2.0,HARD,8.0,True,1,96.278,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,21.0,2.0,HARD,9.0,True,1,96.165,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,22.0,2.0,HARD,10.0,True,1,96.037,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,23.0,2.0,HARD,11.0,True,1,96.249,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,24.0,2.0,HARD,12.0,True,1,96.211,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,25.0,2.0,HARD,13.0,True,1,96.344,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,26.0,2.0,HARD,14.0,True,1,96.347,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,27.0,2.0,HARD,15.0,True,1,96.233,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,28.0,2.0,HARD,16.0,True,1,96.226,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,29.0,2.0,HARD,17.0,True,1,96.437,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,30.0,2.0,HARD,18.0,True,1,96.313,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,31.0,2.0,HARD,19.0,True,1,96.339,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,32.0,2.0,HARD,20.0,True,1,96.276,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,33.0,2.0,HARD,21.0,True,1,96.564,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,34.0,2.0,HARD,22.0,True,1,96.378,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,35.0,2.0,HARD,23.0,True,1,96.776,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,38.0,3.0,SOFT,2.0,True,1,94.804,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,39.0,3.0,SOFT,3.0,True,1,94.607,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,40.0,3.0,SOFT,4.0,True,1,94.364,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,41.0,3.0,SOFT,5.0,True,1,94.4,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,42.0,3.0,SOFT,6.0,True,1,94.525,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,43.0,3.0,SOFT,7.0,True,1,94.797,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,44.0,3.0,SOFT,8.0,True,1,94.799,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,45.0,3.0,SOFT,9.0,True,1,94.592,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,46.0,3.0,SOFT,10.0,True,1,94.844,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,47.0,3.0,SOFT,11.0,True,1,94.73,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,48.0,3.0,SOFT,12.0,True,1,94.885,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,49.0,3.0,SOFT,13.0,True,1,94.966,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,50.0,3.0,SOFT,14.0,True,1,95.082,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,51.0,3.0,SOFT,15.0,True,1,94.94,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,52.0,3.0,SOFT,16.0,True,1,95.183,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,53.0,3.0,SOFT,17.0,True,1,95.842,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,54.0,3.0,SOFT,18.0,True,1,95.459,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,55.0,3.0,SOFT,19.0,True,1,95.611,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,56.0,3.0,SOFT,20.0,True,1,95.568,2024,Bahrain Grand Prix,R
PER,Red Bull Racing,57.0,3.0,SOFT,21.0,True,1,95.746,2024,Bahrain Grand Prix,R
SAI,Ferrari,2.0,1.0,SOFT,5.0,False,1,97.236,2024,Bahrain Grand Prix,R
SAI,Ferrari,3.0,1.0,SOFT,6.0,False,1,97.08,2024,Bahrain Grand Prix,R
SAI,Ferrari,4.0,1.0,SOFT,7.0,False,1,97.264,2024,Bahrain Grand Prix,R
SAI,Ferrari,5.0,1.0,SOFT,8.0,False,1,98.032,2024,Bahrain Grand Prix,R
SAI,Ferrari,6.0,1.0,SOFT,9.0,False,1,97.741,2024,Bahrain Grand Prix,R
SAI,Ferrari,7.0,1.0,SOFT,10.0,False,1,98.26,2024,Bahrain Grand Prix,R
