Driver,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,TrackStatus,LapTime_s,Year,GrandPrix,SessionType
VER,Red Bull Racing,2.0,1.0,MEDIUM,2.0,True,1,94.205,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,3.0,1.0,MEDIUM,3.0,True,1,94.043,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,4.0,1.0,MEDIUM,4.0,True,1,93.754,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,5.0,1.0,MEDIUM,5.0,True,1,93.955,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,6.0,1.0,MEDIUM,6.0,True,1,93.676,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,10.0,2.0,HARD,3.0,True,1,95.024,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,11.0,2.0,HARD,4.0,True,1,93.61,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,12.0,2.0,HARD,5.0,True,1,93.321,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,13.0,2.0,HARD,6.0,True,1,93.144,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,14.0,2.0,HARD,7.0,True,1,93.194,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,15.0,2.0,HARD,8.0,True,1,93.512,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,16.0,2.0,HARD,9.0,True,1,93.192,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,17.0,2.0,HARD,10.0,True,1,93.059,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,18.0,2.0,HARD,11.0,True,1,93.139,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,19.0,2.0,HARD,12.0,True,1,93.135,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,20.0,2.0,HARD,13.0,True,1,93.066,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,21.0,2.0,HARD,14.0,True,1,92.933,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,22.0,2.0,HARD,15.0,True,1,92.98,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,23.0,2.0,HARD,16.0,True,1,92.792,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,24.0,2.0,HARD,17.0,True,1,92.683,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,25.0,2.0,HARD,18.0,True,1,92.785,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,26.0,2.0,HARD,19.0,True,1,92.561,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,27.0,2.0,HARD,20.0,True,1,92.722,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,28.0,2.0,HARD,21.0,True,1,92.674,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,29.0,2.0,HARD,22.0,True,1,92.752,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,30.0,2.0,HARD,23.0,True,1,92.601,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,31.0,2.0,HARD,24.0,True,1,92.454,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,32.0,2.0,HARD,25.0,True,1,92.545,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,33.0,2.0,HARD,26.0,True,1,92.309,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,34.0,2.0,HARD,27.0,True,1,92.558,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,35.0,2.0,HARD,28.0,True,1,92.536,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,36.0,2.0,HARD,29.0,True,1,92.413,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,37.0,2.0,HARD,30.0,True,1,92.412,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,38.0,2.0,HARD,31.0,True,1,92.296,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,39.0,2.0,HARD,32.0,True,1,91.995,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,40.0,2.0,HARD,33.0,True,1,92.555,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,41.0,2.0,HARD,34.0,True,1,92.491,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,42.0,2.0,HARD,35.0,True,1,93.013,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,43.0,2.0,HARD,36.0,True,1,93.123,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,44.0,2.0,HARD,37.0,True,1,92.377,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,45.0,2.0,HARD,38.0,True,1,93.01,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,46.0,2.0,HARD,39.0,True,1,92.889,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,47.0,2.0,HARD,40.0,True,1,92.784,2024,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,48.0,2.0,HARD,41.0,True,1,92.563,2024,Saudi Arabian Grand Prix,R
